Target_genes	BHLHE40|Average	SRX2424487|293	SRX2424488|293	SRX150519|A549	SRX150509|GM12878	SRX3322985|GM12878	SRX3322986|GM12878	SRX6888831|HeLa	SRX6888832|HeLa	SRX6888833|HeLa	SRX6888834|HeLa	SRX100528|Hep_G2	SRX150645|Hep_G2	SRX2424662|IMR-90	SRX2424663|IMR-90	SRX15783135|Jurkat	SRX15783136|Jurkat	SRX15783137|Jurkat	SRX15783138|Jurkat	SRX19471788|Jurkat	SRX19471789|Jurkat	SRX19471796|Jurkat	SRX19471797|Jurkat	SRX150695|K-562	SRX359985|LoVo	STRING
PLXNB1	65.583333	0	0	0	386	294	89	0	0	0	0	0	167	0	0	0	0	0	0	0	158	341	139	0	0	0
LRRC23	65.583333	0	0	0	253	543	145	0	0	0	0	0	0	0	0	0	0	0	0	0	93	270	123	147	0	0
EXTL2	65.583333	0	0	0	135	354	261	0	0	0	0	0	96	119	0	0	0	0	0	0	0	286	108	215	0	0
ARFGAP1	65.583333	0	0	0	156	527	82	0	0	0	0	0	132	0	130	0	0	0	0	0	121	144	0	282	0	0
AKAP12	65.583333	0	0	0	112	236	0	0	0	0	0	0	660	215	149	0	0	0	0	0	0	0	0	202	0	0
ACTR10	65.541667	0	0	0	134	591	113	0	0	0	0	0	0	0	0	0	0	0	0	107	206	318	0	104	0	0
RFX7	65.500000	0	0	0	234	218	0	0	0	0	0	0	0	0	0	0	0	0	0	150	218	398	179	175	0	0
NT5E	65.500000	0	0	0	222	353	116	0	0	0	0	0	0	318	104	0	0	0	0	0	0	311	148	0	0	0
KIF3A	65.500000	0	0	0	127	517	159	0	0	0	0	0	0	0	0	0	0	0	0	82	126	178	148	235	0	0
SYT17	65.458333	0	0	0	347	546	279	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	239	0	0
RPS27L	65.458333	0	0	0	95	596	224	0	0	0	0	0	0	0	0	0	0	0	0	87	113	217	141	98	0	0
DUOXA1	65.458333	0	0	0	274	575	157	0	0	0	0	0	0	176	168	0	0	0	0	0	0	0	0	221	0	0
DNAJC5B	65.458333	0	0	0	338	662	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0
PAFAH1B2	65.416667	0	0	0	156	425	164	0	0	0	0	0	0	0	99	0	0	0	0	0	132	230	204	160	0	0
EIF5	65.416667	0	0	0	0	353	87	0	0	0	0	0	0	0	0	0	0	0	0	121	208	281	283	237	0	0
DNAJC21	65.416667	0	0	0	0	214	0	0	0	0	0	0	0	0	312	0	0	0	0	0	158	259	152	475	0	0
TPM1	65.375000	0	0	0	254	445	105	0	0	0	0	0	116	0	0	0	0	0	0	112	101	227	0	209	0	0
CDC42EP5	65.375000	0	0	0	129	403	199	0	0	0	0	0	0	152	0	0	0	0	0	0	89	250	153	194	0	0
STAP1	65.333333	0	0	0	176	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	1006	0	0
RPTOR	65.333333	0	0	0	235	104	0	0	0	0	0	0	217	0	0	0	0	0	0	129	254	258	220	151	0	0
PINK1	65.333333	0	0	0	273	364	137	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	554	0	0
MCUB	65.333333	0	0	0	241	267	0	0	0	0	0	0	0	196	0	0	0	0	0	113	176	243	139	193	0	0
CCL28	65.333333	0	0	0	409	865	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFS2	65.291667	0	0	0	227	229	0	0	0	0	0	0	0	0	0	0	0	0	0	184	241	342	208	136	0	0
DISP1	65.291667	0	0	0	123	159	0	0	0	0	0	0	0	641	644	0	0	0	0	0	0	0	0	0	0	0
CNPY1	65.291667	0	0	0	0	145	182	0	0	0	0	0	388	0	0	0	0	0	0	0	114	266	208	264	0	0
ACBD3	65.291667	0	0	0	209	334	0	0	0	0	0	0	0	0	0	0	0	0	0	146	189	216	160	313	0	0
EIF2S2	65.250000	0	0	0	121	326	104	0	0	0	0	0	115	0	0	0	0	0	0	138	180	242	236	104	0	0
FBXL20	65.208333	0	0	0	149	535	181	0	0	0	0	0	146	0	0	0	0	0	0	0	110	182	139	123	0	0
R3HCC1L	65.166667	0	0	0	399	494	0	0	0	0	0	0	88	0	0	0	0	0	0	0	108	194	133	148	0	0
DARS2	65.166667	0	0	0	116	116	0	0	0	0	0	0	0	0	0	0	0	0	0	142	344	313	393	140	0	0
CENPL	65.166667	0	0	0	116	116	0	0	0	0	0	0	0	0	0	0	0	0	0	142	344	313	393	140	0	0
PANK2	65.125000	0	0	0	109	273	142	0	0	0	0	0	108	0	0	0	0	0	0	159	265	325	182	0	0	0
ELFN2	65.125000	0	0	0	0	106	0	0	0	0	0	0	0	237	173	0	0	0	0	206	286	401	154	0	0	0
GPR35	65.083333	0	0	0	331	296	0	0	0	0	0	0	298	0	0	0	0	0	0	0	132	242	0	263	0	0
EPHX1	65.083333	0	0	0	0	246	0	0	0	0	0	117	224	471	144	0	0	0	0	0	0	0	0	360	0	0
DEK	65.083333	0	0	0	307	505	218	0	0	0	0	0	314	0	0	0	0	0	0	0	118	100	0	0	0	0
CACNA1G	65.083333	0	0	119	0	127	0	0	0	0	0	0	292	224	0	0	0	0	0	0	0	0	0	800	0	0
HNF4A	65.041667	0	0	0	0	0	0	0	0	0	0	244	1158	0	0	0	0	0	0	0	0	0	0	159	0	0
ELL2	65.041667	0	0	0	329	808	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0
SLC6A16	65.000000	0	0	0	208	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	204	140	142	0	0
GNB1	65.000000	0	0	0	137	586	141	0	0	0	0	0	0	147	0	0	0	0	0	0	0	194	178	177	0	0
IREB2	64.958333	0	0	0	101	245	94	0	0	0	0	0	0	0	0	0	0	0	0	117	126	541	155	180	0	0
DMKN	64.958333	0	0	0	181	401	84	0	0	0	0	0	124	515	254	0	0	0	0	0	0	0	0	0	0	0
CD8A	64.958333	0	0	0	342	401	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	139	111	339	0	0
ZDHHC3	64.916667	0	0	0	79	242	144	0	0	0	0	0	0	0	0	0	0	0	0	0	193	280	220	400	0	0
N4BP2	64.916667	0	0	0	165	275	137	0	0	0	0	0	409	149	0	0	0	0	0	0	0	182	98	143	0	0
EXOSC7	64.916667	0	0	0	79	242	144	0	0	0	0	0	0	0	0	0	0	0	0	0	193	280	220	400	0	0
CRTAP	64.875000	0	0	0	0	312	194	0	0	0	0	0	0	273	106	0	0	0	0	0	0	129	0	543	0	0
PAMR1	64.833333	0	0	0	0	0	0	0	0	0	0	0	0	929	627	0	0	0	0	0	0	0	0	0	0	0
MBD4	64.833333	0	0	0	0	119	109	0	0	0	0	0	0	206	123	0	0	0	0	261	172	259	185	122	0	0
IFT122	64.833333	0	0	0	0	119	109	0	0	0	0	0	0	206	123	0	0	0	0	261	172	259	185	122	0	0
BTBD17	64.833333	0	0	0	217	226	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	944	0	0
SLC29A2	64.750000	0	0	0	101	193	0	0	0	0	0	0	0	0	0	0	0	0	0	168	327	390	200	175	0	0
CX3CR1	64.750000	0	0	0	261	213	0	0	0	0	0	0	0	0	0	0	0	0	0	112	142	378	247	201	0	0
SYNE4	64.708333	0	0	0	176	427	103	0	0	0	0	0	135	0	0	0	0	0	0	0	127	267	208	110	0	0
STX3	64.708333	0	0	0	260	121	0	0	0	0	0	0	183	344	0	0	0	0	0	0	0	0	0	645	0	0
RRP12	64.708333	0	0	0	127	429	0	0	0	0	0	0	181	0	0	0	0	0	0	0	116	161	168	371	0	0
LOC101927572	64.708333	0	0	0	176	427	103	0	0	0	0	0	135	0	0	0	0	0	0	0	127	267	208	110	0	0
DCLRE1A	64.708333	0	0	0	251	607	180	0	0	0	0	0	0	0	0	0	0	0	0	0	90	109	148	168	0	0
ALKBH6	64.708333	0	0	0	176	427	103	0	0	0	0	0	135	0	0	0	0	0	0	0	127	267	208	110	0	0
ADGRG6	64.708333	0	0	0	0	157	0	0	0	0	0	188	820	260	128	0	0	0	0	0	0	0	0	0	0	0
GJA3	64.666667	0	0	0	175	227	0	0	0	0	0	0	185	359	347	0	0	0	0	0	0	177	82	0	0	0
DLG1	64.666667	0	0	0	123	290	124	0	0	0	0	0	126	0	0	0	0	0	0	122	158	203	219	187	0	0
SLAIN2	64.625000	0	0	0	0	145	0	0	0	0	0	0	0	114	0	0	0	0	0	180	160	520	329	103	0	0
YIPF3	64.583333	0	0	0	182	369	71	0	0	0	0	0	153	0	0	0	0	0	0	0	84	179	88	424	0	0
POLR1C	64.583333	0	0	0	182	369	71	0	0	0	0	0	153	0	0	0	0	0	0	0	84	179	88	424	0	0
MYG1	64.583333	0	0	0	97	275	202	0	0	0	0	0	130	245	0	0	0	0	0	0	211	207	183	0	0	0
LRRC73	64.583333	0	0	0	182	369	71	0	0	0	0	0	153	0	0	0	0	0	0	0	84	179	88	424	0	0
CASP3	64.583333	0	0	0	392	393	155	0	0	0	0	0	122	0	0	0	0	0	0	0	145	174	169	0	0	0
POLB	64.541667	0	0	0	248	428	209	0	0	0	0	0	0	0	0	0	0	0	0	0	175	199	83	207	0	0
CMKLR1	64.541667	0	0	0	173	148	0	0	0	0	0	0	0	0	0	0	0	0	0	144	346	340	280	118	0	0
YIPF2	64.500000	0	0	0	182	194	0	0	0	0	0	0	0	0	0	0	0	0	0	240	208	423	142	159	0	0
TIMM29	64.500000	0	0	0	182	194	0	0	0	0	0	0	0	0	0	0	0	0	0	240	208	423	142	159	0	0
ZFP41	64.458333	0	0	0	0	232	0	0	0	0	0	0	428	133	0	0	0	0	0	0	0	77	0	677	0	0
TTC30B	64.458333	0	0	0	132	344	122	0	0	0	0	0	0	0	0	0	0	0	0	109	162	232	208	238	0	0
HOXD12	64.458333	273	0	0	186	266	105	0	0	0	0	0	177	0	0	0	0	0	0	0	0	164	0	376	0	0
HOXD11	64.458333	273	0	0	186	266	105	0	0	0	0	0	177	0	0	0	0	0	0	0	0	164	0	376	0	0
SKAP2	64.416667	0	0	0	401	480	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	496	0	0
RHOBTB2	64.416667	0	0	0	115	365	184	0	0	0	0	0	111	407	226	0	0	0	0	0	0	138	0	0	0	0
JPT2	64.416667	0	0	0	155	394	77	0	0	0	0	0	0	0	0	0	0	0	0	136	158	249	107	270	0	0
HACE1	64.416667	0	0	0	92	262	106	0	0	0	0	0	0	0	0	0	0	0	0	76	245	379	234	152	0	0
FUT2	64.416667	0	0	0	0	0	0	0	0	0	0	0	0	710	634	0	0	0	0	0	0	0	0	202	0	0
HSF5	64.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	297	323	277	422	0	0
H4C13	64.375000	0	0	0	97	158	0	0	0	0	0	0	0	0	214	0	0	0	0	189	334	344	209	0	0	0
H3C11	64.375000	0	0	0	97	158	0	0	0	0	0	0	0	0	214	0	0	0	0	189	334	344	209	0	0	0
H2AC16	64.375000	0	0	0	97	158	0	0	0	0	0	0	0	0	214	0	0	0	0	189	334	344	209	0	0	0
H1-5	64.375000	0	0	0	97	158	0	0	0	0	0	0	0	0	214	0	0	0	0	189	334	344	209	0	0	0
PLLP	64.333333	0	0	0	92	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	543	400	0	0	0
ZSWIM9	64.291667	0	0	0	93	241	100	0	0	0	0	0	0	0	0	0	0	0	0	135	187	348	268	171	0	0
YBEY	64.291667	0	0	0	118	347	89	0	0	0	0	0	125	0	0	0	0	0	0	102	134	223	122	283	0	0
PPP2R2D	64.291667	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	123	223	353	383	189	0	0
MCM3AP	64.291667	0	0	0	118	347	89	0	0	0	0	0	125	0	0	0	0	0	0	102	134	223	122	283	0	0
LIG1	64.291667	0	0	0	93	241	100	0	0	0	0	0	0	0	0	0	0	0	0	135	187	348	268	171	0	0
HTRA2	64.291667	0	0	0	110	388	105	0	0	0	0	0	100	86	0	0	0	0	0	0	113	168	126	347	0	0
DQX1	64.291667	0	0	0	110	388	105	0	0	0	0	0	100	86	0	0	0	0	0	0	113	168	126	347	0	0
ADAMTS4	64.291667	0	0	0	208	229	0	0	0	0	0	0	0	0	0	0	0	0	0	184	241	342	208	131	0	0
TSPYL4	64.250000	0	0	0	271	0	0	0	0	0	0	0	148	0	0	0	0	0	0	144	224	273	176	306	0	0
DCTN6	64.250000	0	0	0	273	169	0	0	0	0	0	0	138	87	0	0	0	0	0	0	184	226	173	292	0	0
SRR	64.208333	0	0	0	75	246	0	0	0	0	0	0	0	0	0	0	0	0	0	209	203	466	342	0	0	0
NFRKB	64.208333	0	0	0	0	462	176	0	0	0	0	0	0	0	0	0	0	0	0	124	245	402	132	0	0	0
NCF4	64.208333	0	0	0	211	706	187	0	0	0	0	0	172	0	0	0	0	0	0	0	0	143	122	0	0	0
LSM11	64.208333	0	0	0	254	238	0	0	0	0	0	0	144	121	0	0	0	0	0	113	123	305	114	129	0	0
GOT1	64.208333	0	0	0	184	371	93	0	0	0	0	0	87	165	0	0	0	0	0	195	109	200	0	137	0	0
SETD3	64.166667	0	0	0	122	154	0	0	0	0	0	0	0	0	0	0	0	0	0	156	255	335	285	233	0	0
MAN1A1	64.166667	0	0	0	261	522	203	0	0	0	0	0	117	0	0	0	0	0	0	0	116	197	0	124	0	0
CCNK	64.166667	0	0	0	122	154	0	0	0	0	0	0	0	0	0	0	0	0	0	156	255	335	285	233	0	0
CAVIN1	64.166667	0	0	0	0	0	0	0	0	0	0	0	0	392	273	0	0	0	0	0	131	232	120	392	0	0
TSPAN1	64.125000	0	0	0	117	376	127	0	0	0	0	0	0	0	0	0	0	0	0	0	176	298	251	194	0	0
SFPQ	64.125000	0	0	0	243	253	0	0	0	0	0	0	101	0	0	0	0	0	0	192	148	261	121	220	0	0
P3R3URF-PIK3R3	64.125000	0	0	0	117	376	127	0	0	0	0	0	0	0	0	0	0	0	0	0	176	298	251	194	0	0
P3R3URF	64.125000	0	0	0	117	376	127	0	0	0	0	0	0	0	0	0	0	0	0	0	176	298	251	194	0	0
IKBIP	64.125000	0	0	0	159	634	180	0	0	0	0	0	0	103	0	0	0	0	0	0	92	246	125	0	0	0
IFNA2	64.125000	0	0	0	614	451	154	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM98A	64.125000	0	0	0	254	470	171	0	0	0	0	0	84	125	0	0	0	0	0	0	0	159	89	187	0	0
APAF1	64.125000	0	0	0	159	634	180	0	0	0	0	0	0	103	0	0	0	0	0	0	92	246	125	0	0	0
RAB33B	64.083333	0	0	0	122	481	80	0	0	0	0	0	0	0	0	0	0	0	0	98	189	251	236	81	0	0
SNRPD2	64.041667	0	0	0	155	162	68	0	0	0	0	0	0	143	0	0	0	0	0	0	202	323	173	311	0	0
QPCTL	64.041667	0	0	0	155	162	68	0	0	0	0	0	0	143	0	0	0	0	0	0	202	323	173	311	0	0
HEATR1	64.000000	0	0	0	260	163	84	0	0	0	0	0	0	0	0	0	0	0	0	111	294	189	246	189	0	0
COPRS	64.000000	0	0	0	0	759	262	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	396	0	0
ARHGEF9	64.000000	0	0	0	0	0	0	0	0	0	0	0	189	512	144	0	0	0	0	0	141	355	195	0	0	0
UBL4B	63.958333	0	0	0	302	156	0	0	0	0	0	0	178	144	0	0	0	0	0	0	0	179	122	454	0	0
ACSL1	63.958333	0	0	0	191	513	210	0	0	0	0	0	387	234	0	0	0	0	0	0	0	0	0	0	0	0
P4HA2	63.916667	0	0	0	201	869	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	189	0	0
NPHS1	63.916667	0	0	0	0	0	0	0	0	0	0	0	226	264	0	0	0	0	0	0	0	92	0	952	0	0
MFSD14B	63.916667	0	0	0	130	281	0	0	0	0	0	0	0	0	0	0	0	0	0	116	152	264	204	387	0	0
BEX1	63.916667	0	0	0	0	0	0	0	0	0	0	0	507	0	0	0	0	0	0	97	202	369	359	0	0	0
FUT10	63.875000	0	0	0	186	318	144	0	0	0	0	0	110	81	0	0	0	0	0	122	0	169	200	203	0	0
CRCP	63.875000	0	0	0	74	160	104	0	0	0	0	0	0	322	250	0	0	0	0	136	219	143	125	0	0	0
TMCC1	63.833333	0	0	0	0	670	0	0	0	0	0	0	0	253	197	0	0	0	0	0	0	175	0	237	0	0
STX7	63.833333	0	0	0	398	462	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	391	0	0
SCP2D1	63.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	415	443	308	0	0	0
DEPP1	63.833333	0	0	0	176	141	0	0	0	0	0	0	249	0	0	0	0	0	0	0	105	197	142	522	0	0
OS9	63.791667	0	0	0	210	297	129	0	0	0	0	0	188	0	0	0	0	0	0	0	168	147	140	252	0	0
NUDT16L1	63.791667	0	0	0	171	271	0	0	0	0	0	0	0	0	0	0	0	0	0	119	302	273	287	108	0	0
JAK1	63.791667	0	0	0	160	415	173	0	0	0	0	0	0	0	0	0	0	0	0	0	181	265	200	137	0	0
CLIC5	63.791667	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	118	286	427	365	0	0	0
SARM1	63.750000	0	0	0	0	379	102	0	0	0	0	0	295	153	0	0	0	0	0	0	152	115	145	189	0	0
PCED1B	63.750000	0	0	320	0	141	0	0	0	0	0	0	0	414	66	0	0	0	0	0	0	0	0	589	0	0
LZTS1	63.750000	0	0	0	137	0	0	0	0	0	0	0	221	265	357	0	0	0	0	0	137	204	209	0	0	0
AMIGO2	63.750000	0	0	320	0	141	0	0	0	0	0	0	0	414	66	0	0	0	0	0	0	0	0	589	0	0
TRAF3	63.708333	0	0	0	272	764	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	359	0	0
TEFM	63.708333	0	0	0	283	231	0	0	0	0	0	0	156	103	0	0	0	0	0	0	160	228	132	236	0	0
CDC42BPG	63.708333	0	0	0	311	497	156	0	0	0	0	0	187	0	0	0	0	0	0	0	0	168	118	92	0	0
CCDC188	63.708333	0	0	0	228	376	131	0	0	0	0	0	131	247	0	0	0	0	0	0	0	0	0	416	0	0
MS4A14	63.666667	0	0	0	567	707	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USF3	63.625000	0	0	0	108	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	441	290	0	0	0
SPAG7	63.625000	0	0	0	96	234	0	0	0	0	0	0	0	297	145	0	0	0	0	155	234	195	171	0	0	0
SLC25A35	63.625000	0	0	0	177	477	170	0	0	0	0	0	158	144	0	0	0	0	0	0	0	174	107	120	0	0
MYL3	63.625000	0	0	0	336	583	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0
FLT3	63.625000	0	0	0	0	409	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	957	0	0
TSPAN15	63.583333	0	0	0	502	648	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0
SPRYD3	63.583333	0	0	0	0	265	105	0	0	0	0	0	0	600	277	0	0	0	0	0	151	128	0	0	0	0
NCOA4	63.583333	0	0	0	84	476	135	0	0	0	0	0	145	151	0	0	0	0	0	0	0	108	158	269	0	0
MRPL52	63.583333	0	0	0	69	235	0	0	0	0	0	0	0	0	0	0	0	0	0	219	203	392	232	176	0	0
DUSP12	63.583333	0	0	0	141	154	0	0	0	0	0	0	0	0	709	0	0	0	0	146	150	141	85	0	0	0
CRELD1	63.583333	0	0	0	163	455	107	0	0	0	0	0	0	0	0	0	0	0	0	122	129	236	169	145	0	0
CPNE6	63.583333	0	0	0	171	638	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	101	363	0	0
ANKRD60	63.583333	0	0	0	186	204	0	0	0	0	0	0	191	0	0	0	0	0	0	172	152	321	300	0	0	0
WDR19	63.541667	0	0	0	152	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	297	316	191	0	0
TRIM9	63.541667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	255	505	394	178	0	0
OR6B2	63.541667	0	0	0	0	368	139	0	0	0	0	0	181	0	0	0	0	0	0	0	304	302	231	0	0	0
NDUFA10	63.541667	0	0	0	0	368	139	0	0	0	0	0	181	0	0	0	0	0	0	0	304	302	231	0	0	0
KLRD1	63.541667	0	0	0	207	153	0	0	0	0	0	0	0	142	0	0	0	0	0	214	232	318	259	0	0	0
FANCF	63.541667	0	0	0	433	597	234	0	0	0	0	0	137	0	0	0	0	0	0	0	0	124	0	0	0	0
EMC3	63.541667	0	0	0	0	0	0	0	0	0	0	0	127	779	619	0	0	0	0	0	0	0	0	0	0	0
ZNF561	63.500000	0	0	0	114	173	0	0	0	0	0	0	0	0	0	0	0	0	0	131	238	452	250	166	0	0
SEZ6L2	63.500000	0	0	0	0	0	0	0	0	0	0	261	1180	0	0	0	0	0	0	0	0	83	0	0	0	0
MEIS2	63.500000	0	0	0	140	463	135	0	0	0	0	0	0	0	0	0	0	0	0	0	161	303	157	165	0	0
ITGB7	63.500000	0	0	0	530	499	216	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	140	0	0
ASPHD1	63.500000	0	0	0	0	0	0	0	0	0	0	261	1180	0	0	0	0	0	0	0	0	83	0	0	0	0
ASF1A	63.500000	0	0	0	141	238	0	0	0	0	0	0	0	0	0	0	0	0	0	129	232	382	295	107	0	0
TMEM184B	63.458333	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342	0	0
PROSER1	63.458333	0	0	0	221	193	112	0	0	0	0	0	0	0	0	0	0	0	0	156	187	206	272	176	0	0
PRKCD	63.458333	0	0	0	432	624	231	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0
NHLRC3	63.458333	0	0	0	221	193	112	0	0	0	0	0	0	0	0	0	0	0	0	156	187	206	272	176	0	0
GINS3	63.458333	0	0	0	286	122	82	0	0	0	0	0	174	0	0	0	0	0	0	106	208	254	144	147	0	0
SH3GLB1	63.416667	0	0	0	255	320	115	0	0	0	0	0	0	0	0	0	0	0	0	126	123	240	185	158	0	0
PILRB	63.416667	0	0	0	261	350	109	0	0	0	0	0	0	0	0	0	0	0	0	132	227	225	218	0	0	0
MYL2	63.416667	0	0	0	430	584	71	0	0	0	0	0	335	0	102	0	0	0	0	0	0	0	0	0	0	0
MAP2K5	63.416667	0	0	0	225	201	0	0	0	0	0	0	0	0	0	0	0	0	0	235	269	376	216	0	0	0
CDCA4	63.416667	0	0	0	111	320	0	0	0	0	0	0	0	219	116	0	0	0	0	0	189	270	132	165	0	0
BTN3A3	63.416667	0	0	0	261	591	114	0	0	0	0	0	178	0	129	0	0	0	0	0	0	99	0	150	0	0
TRIM71	63.375000	0	0	0	0	928	386	0	0	0	0	0	103	0	0	0	0	0	0	0	104	0	0	0	0	0
MED13L	63.375000	0	0	0	0	600	342	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	203	0	0
ZFYVE1	63.333333	0	0	0	364	338	143	0	0	0	0	0	0	0	0	0	0	0	0	108	79	118	141	229	0	0
SNRNP35	63.333333	0	0	0	126	244	83	0	0	0	0	0	104	0	0	0	0	0	0	147	215	300	180	121	0	0
NFIL3	63.333333	0	0	0	0	113	0	0	0	0	0	0	97	578	270	0	0	0	0	0	0	87	0	375	0	0
BEAN1	63.333333	0	0	0	0	0	0	0	0	0	0	114	525	439	442	0	0	0	0	0	0	0	0	0	0	0
PRADC1	63.291667	0	0	0	114	335	117	0	0	0	0	0	91	0	0	0	0	0	0	93	219	287	184	79	0	0
PCCA	63.291667	0	0	0	240	546	170	0	0	0	0	0	204	0	0	0	0	0	0	0	0	133	0	226	0	0
COTL1	63.291667	0	0	0	0	473	179	0	0	0	0	0	0	342	186	0	0	0	0	0	0	175	0	164	0	0
CCT7	63.291667	0	0	0	114	335	117	0	0	0	0	0	91	0	0	0	0	0	0	93	219	287	184	79	0	0
MRPL1	63.250000	0	0	0	228	134	0	0	0	0	0	0	0	0	0	0	0	0	0	136	257	312	331	120	0	0
SH3KBP1	63.208333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	431	487	412	0	0	0
USP47	63.166667	0	0	0	158	150	0	0	0	0	0	0	167	0	0	0	0	0	0	183	213	291	238	116	0	0
TPD52	63.166667	0	0	0	348	481	131	0	0	0	0	0	0	0	0	0	0	0	0	0	190	175	191	0	0	0
CNOT1	63.166667	0	0	0	164	119	0	0	0	0	0	0	0	160	168	0	0	0	0	194	152	223	214	122	0	0
ACOT11	63.166667	0	0	0	0	165	0	0	0	0	0	0	0	678	483	0	0	0	0	0	0	109	81	0	0	0
PPID	63.125000	0	0	0	159	285	104	0	0	0	0	0	198	88	0	0	0	0	0	125	0	171	111	274	0	0
CEP131	63.125000	0	0	0	220	572	192	0	0	0	0	0	83	0	0	0	0	0	0	0	0	121	128	199	0	0
UGDH	63.083333	0	0	0	97	424	110	0	0	0	0	0	264	0	0	0	0	0	0	0	144	188	139	148	0	0
MELK	63.083333	0	0	0	201	608	172	0	0	0	0	0	0	0	0	0	0	0	0	0	101	269	0	163	0	0
TNKS	63.041667	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	324	301	360	368	0	0	0
SOGA3	63.041667	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	218	258	600	259	0	0	0
SHFL	63.041667	0	0	0	191	488	107	0	0	0	0	0	208	79	0	0	0	0	0	0	0	197	107	136	0	0
OR2L13	63.041667	0	0	0	228	242	0	0	0	0	0	0	0	0	0	0	0	0	0	113	229	290	236	175	0	0
OR2AJ1	63.041667	0	0	0	228	242	0	0	0	0	0	0	0	0	0	0	0	0	0	113	229	290	236	175	0	0
LAMA5	63.041667	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	1155	0	0
RALGAPA1	62.958333	0	0	0	185	228	0	0	0	0	0	0	104	177	0	0	0	0	0	112	165	217	180	143	0	0
AGXT	62.958333	0	0	0	0	0	0	0	0	0	0	160	1351	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM177	62.916667	0	0	0	147	604	142	0	0	0	0	0	274	0	0	0	0	0	0	0	0	180	94	69	0	0
NUDT13	62.916667	0	0	0	407	427	140	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	114	335	0	0
SYT8	62.875000	0	0	0	200	387	252	0	0	0	0	0	205	225	93	0	0	0	0	0	0	0	0	147	0	0
SYT11	62.875000	0	0	0	203	361	195	0	0	0	0	0	0	0	0	0	0	0	0	200	145	241	164	0	0	0
RPS21	62.875000	0	0	0	272	179	0	0	0	0	0	0	211	0	0	0	0	0	0	0	206	263	171	207	0	0
PLXNA4	62.875000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	361	505	347	0	0	0
KCNF1	62.875000	0	0	0	0	0	0	0	0	0	0	0	298	368	0	0	0	0	0	0	0	0	0	843	0	0
GON4L	62.875000	0	0	0	203	361	195	0	0	0	0	0	0	0	0	0	0	0	0	200	145	241	164	0	0	0
XPA	62.833333	0	0	0	249	348	237	0	0	0	0	0	116	0	0	0	0	0	0	82	0	189	153	134	0	0
MEAK7	62.833333	0	0	0	136	356	0	0	0	0	0	0	0	418	256	0	0	0	0	0	0	175	0	167	0	0
ANK2	62.833333	0	0	0	108	282	0	0	0	0	0	0	164	229	174	0	0	0	0	0	160	256	135	0	0	0
SLC39A9	62.791667	0	0	0	169	140	0	0	0	0	0	0	0	0	0	0	0	0	0	240	245	395	318	0	0	0
